NR_solar_pv,NER_solar_pv,ER_solar_pv,WR_solar_pv,SR_solar_pv,NR_onshore_wind,NER_onshore_wind,ER_onshore_wind,WR_onshore_wind,SR_onshore_wind
0,0,0,0,0,0.434153348,0.031066958,0.799080312,0.058144085,0.002315517
0,0,0,0,0,0.435889482,0.097598262,0.399789095,0.142925054,0.094827555
0,0,0,0,0,0.563583791,0.058144085,0.343781441,0.373674929,0.031066958
0,0,0,0,0,0.845474541,0.142925054,0.002315517,0.434153348,0.097598262
0,0,0,0,0,0.694941878,0.373674929,0.094827555,0.435889482,0.058144085
0,0,0,0,0,0.832901537,0.434153348,0.031066958,0.563583791,0.142925054
0,0.018129165,9.97578E-06,0,0,0.784772754,0.435889482,0.097598262,0.845474541,0.373674929
0.028168545,0.098892003,0.065960248,0.010365576,0.024634202,0.584573805,0.563583791,0.058144085,0.694941878,0.434153348
0.160302325,0.224293789,0.221993233,0.10412263,0.1388315,0.526055634,0.845474541,0.142925054,0.832901537,0.435889482
0.362082816,0.335391152,0.379960332,0.278629414,0.316784795,0.535089731,0.694941878,0.373674929,0.784772754,0.563583791
0.530113946,0.404257016,0.473395401,0.407806705,0.455255007,0.20891723,0.832901537,0.434153348,0.584573805,0.845474541
0.648287274,0.44592744,0.519037537,0.480577685,0.539025892,0.3200486,0.784772754,0.435889482,0.526055634,0.694941878
0.725233531,0.46954489,0.53764809,0.525078266,0.580651139,0.762181401,0.584573805,0.563583791,0.535089731,0.832901537
0.756899066,0.458529972,0.520718864,0.530232129,0.575155643,0.967575073,0.526055634,0.845474541,0.20891723,0.784772754
0.74096579,0.405668318,0.467542763,0.502002626,0.526155639,0.947055817,0.535089731,0.694941878,0.3200486,0.584573805
0.67887097,0.308281378,0.379580114,0.437831578,0.438464912,0.922798336,0.20891723,0.832901537,0.762181401,0.526055634
0.570235264,0.191771429,0.266716478,0.351699874,0.328380989,0.981649756,0.3200486,0.784772754,0.967575073,0.535089731
0.416920384,0.078755196,0.138112833,0.239025677,0.197238204,0.987221539,0.762181401,0.584573805,0.947055817,0.20891723
0.221637744,0.012112534,0.036178216,0.10842361,0.070617725,0.972513497,0.967575073,0.526055634,0.922798336,0.3200486
0.057293657,0,0.000114229,0.022472359,0.00858835,0.921534657,0.947055817,0.535089731,0.981649756,0.762181401
3.41114E-05,0,0,7.08008E-07,0,0.942537785,0.922798336,0.20891723,0.987221539,0.967575073
0,0,0,0,0,0.942126811,0.981649756,0.3200486,0.972513497,0.947055817
0,0,0,0,0,0.740993917,0.987221539,0.762181401,0.921534657,0.922798336
0,0,0,0,0,0.56838423,0.972513497,0.967575073,0.942537785,0.981649756
0,0,0,0,0,0.254551947,0.921534657,0.947055817,0.942126811,0.987221539
0,0,0,0,0,0.088092998,0.942537785,0.922798336,0.740993917,0.972513497
0,0,0,0,0,0.153454423,0.942126811,0.981649756,0.56838423,0.921534657
0,0,0,0,0,0.125184193,0.740993917,0.987221539,0.254551947,0.942537785
0,0,0,0,0,0.232314631,0.56838423,0.972513497,0.088092998,0.942126811
0,0,0,0,0,0.527668715,0.254551947,0.921534657,0.153454423,0.740993917
0,0.005753611,0,0,0,0.643087626,0.088092998,0.942537785,0.125184193,0.56838423
0.028168545,0.112826529,0.077506826,0.008339044,0.02556177,0.444231838,0.153454423,0.942126811,0.232314631,0.254551947
0.160302325,0.29605062,0.25839701,0.125738749,0.156097684,0.497035325,0.125184193,0.740993917,0.527668715,0.088092998
0.362082816,0.43061533,0.432675956,0.342778783,0.353591363,0.564896762,0.232314631,0.56838423,0.643087626,0.153454423
0.530113946,0.499194474,0.533182454,0.516879638,0.499175391,0.640720606,0.527668715,0.254551947,0.444231838,0.125184193
0.648287274,0.533077332,0.582899802,0.62658799,0.586025609,0.400899559,0.643087626,0.088092998,0.497035325,0.232314631
0.725233531,0.549128151,0.605466964,0.682536924,0.629005684,0.538941324,0.444231838,0.153454423,0.564896762,0.527668715
0.756899066,0.52604716,0.588487885,0.686536735,0.620883644,0.923362017,0.497035325,0.125184193,0.640720606,0.643087626
0.74096579,0.463501501,0.526844348,0.647163858,0.566066032,0.840292275,0.564896762,0.232314631,0.400899559,0.444231838
0.67887097,0.357537248,0.425540756,0.565915282,0.477118589,0.243614614,0.640720606,0.527668715,0.538941324,0.497035325
0.570235264,0.213653945,0.283684551,0.442333116,0.355129183,0.643543959,0.400899559,0.643087626,0.923362017,0.564896762
0.416920384,0.067541782,0.112683202,0.276098901,0.203556536,0.796087563,0.538941324,0.444231838,0.840292275,0.640720606
0.221637744,0.000363079,0.012219102,0.097498627,0.062029891,0.903208315,0.923362017,0.497035325,0.243614614,0.400899559
0.057293657,0,0,0.005894177,0.000766355,0.935438216,0.840292275,0.564896762,0.643543959,0.538941324
3.41114E-05,0,0,0,0,0.997932076,0.243614614,0.640720606,0.796087563,0.923362017
0,0,0,0,0,0.982208312,0.643543959,0.400899559,0.903208315,0.840292275
0,0,0,0,0,0.986259937,0.796087563,0.538941324,0.935438216,0.243614614
0,0,0,0,0,0.994179308,0.903208315,0.923362017,0.997932076,0.643543959
0,0,0,0,0,0.966724813,0.935438216,0.840292275,0.982208312,0.796087563
0,0,0,0,0,0.938414276,0.997932076,0.243614614,0.986259937,0.903208315
0,0,0,0,0,0.819656253,0.982208312,0.643543959,0.994179308,0.935438216
0,0,0,0,0,0.804335475,0.986259937,0.796087563,0.966724813,0.997932076
0,0,0,0,0,0.796525359,0.994179308,0.903208315,0.938414276,0.982208312
0,0,0,0,0,0.6475963,0.966724813,0.935438216,0.819656253,0.986259937
0,0,0,0,0,0.803939998,0.938414276,0.997932076,0.804335475,0.994179308
0.028168545,0.109948012,0.051050887,0.001096135,0.008493476,0.813347638,0.819656253,0.982208312,0.796525359,0.966724813
0.160302325,0.328276278,0.221020596,0.107148217,0.147571789,0.786184669,0.804335475,0.986259937,0.6475963,0.938414276
0.362082816,0.500389856,0.4235184,0.329040347,0.380535076,0.809754848,0.796525359,0.994179308,0.803939998,0.819656253
0.530113946,0.582692407,0.553563866,0.517244325,0.530433368,0.920710862,0.6475963,0.966724813,0.813347638,0.804335475
0.648287274,0.619939029,0.625051986,0.630445419,0.610164795,0.424674869,0.803939998,0.938414276,0.786184669,0.796525359
0.725233531,0.636590034,0.650565976,0.687481075,0.649094112,0.673590124,0.813347638,0.819656253,0.809754848,0.6475963
0.756899066,0.608664542,0.631141084,0.695377762,0.640143269,0.722590208,0.786184669,0.804335475,0.920710862,0.803939998
0.74096579,0.533595096,0.566111088,0.661083169,0.589878402,0.807032704,0.809754848,0.796525359,0.424674869,0.813347638
0.67887097,0.406246521,0.444986446,0.581190504,0.502673365,0.794338346,0.920710862,0.6475963,0.673590124,0.786184669
0.570235264,0.214778245,0.268523736,0.450220806,0.376077865,0.920866907,0.424674869,0.803939998,0.722590208,0.809754848
0.416920384,0.0507441,0.084389002,0.265459406,0.21685208,0.775906444,0.673590124,0.813347638,0.807032704,0.920710862
0.221637744,0,0.000352542,0.079720202,0.065806525,0.790116549,0.722590208,0.786184669,0.794338346,0.424674869
0.057293657,0,0,0.000288221,0,0.313982964,0.807032704,0.809754848,0.920866907,0.673590124
3.41114E-05,0,0,0,0,0.228863105,0.794338346,0.920710862,0.775906444,0.722590208
0,0,0,0,0,0.186610132,0.920866907,0.424674869,0.790116549,0.807032704
0,0,0,0,0,0.168072969,0.775906444,0.673590124,0.313982964,0.794338346
0,0,0,0,0,0.099481188,0.790116549,0.722590208,0.228863105,0.920866907
0,0,0,0,0,0.07131198,0.313982964,0.807032704,0.186610132,0.775906444
0,0,0,0,0,0.141474232,0.228863105,0.794338346,0.168072969,0.790116549
0,0,0,0,0,0.174716681,0.186610132,0.920866907,0.099481188,0.313982964
0,0,0,0,0,0.109989181,0.168072969,0.775906444,0.07131198,0.228863105
0,0,0,0,0,0.090794012,0.099481188,0.790116549,0.141474232,0.186610132
0,0,0,0,0,0.030788897,0.07131198,0.313982964,0.174716681,0.168072969
0,0,0,0,0,0.016659057,0.141474232,0.228863105,0.109989181,0.099481188
0.028168545,0.064766638,0.004242237,0,0.00006223,0.026496863,0.174716681,0.186610132,0.090794012,0.07131198
0.160302325,0.255268649,0.135981336,0.055830753,0.108882234,0.016100235,0.109989181,0.168072969,0.030788897,0.141474232
0.362082816,0.453660127,0.354738922,0.244582415,0.329000576,0.063318081,0.090794012,0.099481188,0.016659057,0.174716681
0.530113946,0.542779921,0.46872776,0.450991233,0.488560151,0.212307662,0.030788897,0.07131198,0.026496863,0.109989181
0.648287274,0.584379829,0.526999394,0.572971741,0.575258615,0.184758514,0.016659057,0.141474232,0.016100235,0.090794012
0.725233531,0.610835519,0.57363402,0.641610296,0.625140117,0.409239978,0.026496863,0.174716681,0.063318081,0.030788897
0.756899066,0.591498424,0.575769929,0.660908146,0.627792799,0.85537678,0.016100235,0.109989181,0.212307662,0.016659057
0.74096579,0.522767137,0.528135535,0.637427114,0.588121505,0.717418909,0.063318081,0.090794012,0.184758514,0.026496863
0.67887097,0.398029936,0.418195272,0.566945239,0.507992297,0.363580614,0.212307662,0.030788897,0.409239978,0.016100235
0.570235264,0.214457839,0.262842486,0.445826035,0.38945216,0.317670733,0.184758514,0.016659057,0.85537678,0.063318081
0.416920384,0.053774111,0.090474622,0.27544807,0.242685424,0.271577805,0.409239978,0.026496863,0.717418909,0.212307662
0.221637744,0,0.001099239,0.091087146,0.082892423,0.311569244,0.85537678,0.016100235,0.363580614,0.184758514
0.057293657,0,0,0.001916967,0.000256649,0.221334517,0.717418909,0.063318081,0.317670733,0.409239978
3.41114E-05,0,0,0,0,0.171090662,0.363580614,0.212307662,0.271577805,0.85537678
0,0,0,0,0,0.079606064,0.317670733,0.184758514,0.311569244,0.717418909
0,0,0,0,0,0.189559758,0.271577805,0.409239978,0.221334517,0.363580614
0,0,0,0,0,0.259287894,0.311569244,0.85537678,0.171090662,0.317670733
0,0,0,0,0,0.127237305,0.221334517,0.717418909,0.079606064,0.271577805
0,0,0,0,0,0.17743887,0.171090662,0.363580614,0.189559758,0.311569244
0,0,0,0,0,0.27053991,0.079606064,0.317670733,0.259287894,0.221334517
0,0,0,0,0,0.18752566,0.189559758,0.271577805,0.127237305,0.171090662
0,0,0,0,0,0.695573568,0.259287894,0.311569244,0.17743887,0.079606064
0,0,0,0,0,0.131348357,0.127237305,0.221334517,0.27053991,0.189559758
0,0,0,0,0,0.239212155,0.17743887,0.171090662,0.18752566,0.259287894
0.028168545,0.0412833,3.87821E-07,0,0,0.310001045,0.27053991,0.079606064,0.695573568,0.127237305
0.160302325,0.21719522,0.123562505,0.036124838,0.099302754,0.416327089,0.18752566,0.189559758,0.131348357,0.17743887
0.362082816,0.437239152,0.350346208,0.227561325,0.322716078,0.421913445,0.695573568,0.259287894,0.239212155,0.27053991
0.530113946,0.555174385,0.470659642,0.474633847,0.515044317,0.579014182,0.131348357,0.127237305,0.310001045,0.18752566
0.648287274,0.618641955,0.530772992,0.621990347,0.630605142,0.643352985,0.239212155,0.17743887,0.416327089,0.695573568
0.725233531,0.654165025,0.593863891,0.703798963,0.697638048,0.790205538,0.310001045,0.27053991,0.421913445,0.131348357
0.756899066,0.644009549,0.61795828,0.73605817,0.716580655,0.734749496,0.416327089,0.18752566,0.579014182,0.239212155
0.74096579,0.584443909,0.591373309,0.727632665,0.694481821,0.901278973,0.421913445,0.695573568,0.643352985,0.310001045
0.67887097,0.461943299,0.497196321,0.67469884,0.629024793,0.443615586,0.579014182,0.131348357,0.790205538,0.416327089
0.570235264,0.279176191,0.34426557,0.57147126,0.517746087,0.563726008,0.643352985,0.239212155,0.734749496,0.421913445
0.416920384,0.087129579,0.143554844,0.40257636,0.350324394,0.776801109,0.790205538,0.310001045,0.901278973,0.579014182
0.221637744,9.21049E-05,0.016104115,0.167484634,0.13445333,0.593942106,0.734749496,0.416327089,0.443615586,0.643352985
0.057293657,0,0,0.018261165,0.009415295,0.759970427,0.901278973,0.421913445,0.563726008,0.790205538
3.41114E-05,0,0,0,0,0.504448533,0.443615586,0.579014182,0.776801109,0.734749496
0,0,0,0,0,0.487716585,0.563726008,0.643352985,0.593942106,0.901278973
0,0,0,0,0,0.197554901,0.776801109,0.790205538,0.759970427,0.443615586
0,0,0,0,0,0.051789507,0.593942106,0.734749496,0.504448533,0.563726008
0,0,0,0,0,0.297564685,0.759970427,0.901278973,0.487716585,0.776801109
0,0,0,0,0,0.620805919,0.504448533,0.443615586,0.197554901,0.593942106
0,0,0,0,0,0.506251514,0.487716585,0.563726008,0.051789507,0.759970427
0,0,0,0,0,0.369528323,0.197554901,0.776801109,0.297564685,0.504448533
0,0,0,0,0,0.075398572,0.051789507,0.593942106,0.620805919,0.487716585
0,0,0,0,0,0.052092776,0.297564685,0.759970427,0.506251514,0.197554901
0,0,0,0,0,0.000912532,0.620805919,0.504448533,0.369528323,0.051789507
0.028168545,0.06350896,0.008823963,0,8.97956E-06,0.003804801,0.506251514,0.487716585,0.075398572,0.297564685
0.160302325,0.226344513,0.148806513,0.059198695,0.107371269,0.004665192,0.369528323,0.197554901,0.052092776,0.620805919
0.362082816,0.399621076,0.382050465,0.260889475,0.345519128,0.034942862,0.075398572,0.051789507,0.000912532,0.506251514
0.530113946,0.506024334,0.537776593,0.494000346,0.549781914,0.130620405,0.052092776,0.297564685,0.003804801,0.369528323
0.648287274,0.564421175,0.630873886,0.640014732,0.672936237,0.209739819,0.000912532,0.620805919,0.004665192,0.075398572
0.725233531,0.593604255,0.68064409,0.724162328,0.747078476,0.270353645,0.003804801,0.506251514,0.034942862,0.052092776
0.756899066,0.587792531,0.687478942,0.760361472,0.773695645,0.587898731,0.004665192,0.369528323,0.130620405,0.000912532
0.74096579,0.535570515,0.650252901,0.753486574,0.755049595,0.801127791,0.034942862,0.075398572,0.209739819,0.003804801
0.67887097,0.420190117,0.557936247,0.702994787,0.691801778,0.471754193,0.130620405,0.052092776,0.270353645,0.004665192
0.570235264,0.261012072,0.410027556,0.607318086,0.585818496,0.497119367,0.209739819,0.000912532,0.587898731,0.034942862
0.416920384,0.091215323,0.208916103,0.450924309,0.423246743,0.433294594,0.270353645,0.003804801,0.801127791,0.130620405
0.221637744,0.004193493,0.048571953,0.221824347,0.193411402,0.464815438,0.587898731,0.004665192,0.471754193,0.209739819
0.057293657,0,0,0.044805602,0.03130264,0.495626986,0.801127791,0.034942862,0.497119367,0.270353645
3.41114E-05,0,0,0,0,0.773328662,0.471754193,0.130620405,0.433294594,0.587898731
0,0,0,0,0,0.922425091,0.497119367,0.209739819,0.464815438,0.801127791
0,0,0,0,0,0.975681365,0.433294594,0.270353645,0.495626986,0.471754193
0,0,0,0,0,0.998668909,0.464815438,0.587898731,0.773328662,0.497119367
0,0,0,0,0,0.96816361,0.495626986,0.801127791,0.922425091,0.433294594
0,0,0,0,0,0.995454729,0.773328662,0.471754193,0.975681365,0.464815438
0,0,0,0,0,0.987193763,0.922425091,0.497119367,0.998668909,0.495626986
0,0,0,0,0,0.9938519,0.975681365,0.433294594,0.96816361,0.773328662
0,0,0,0,0,0.997879922,0.998668909,0.464815438,0.995454729,0.922425091
0,0,0,0,0,0.994140625,0.96816361,0.495626986,0.987193763,0.975681365
0,0.002818922,0,0,0,0.999531507,0.995454729,0.773328662,0.9938519,0.998668909
